time,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean
2022-01-01,1.4,0.0,41
2022-01-02,1.4,0.0,67
2022-01-03,4.0,0.0,63
2022-01-04,2.4,0.1,68
2022-01-05,2.1,0.0,48
2022-01-06,-1.0,7.2,79
2022-01-07,0.1,0.0,64
2022-01-08,3.5,0.0,61
2022-01-09,3.5,0.0,71
2022-01-10,5.1,0.0,76
2022-01-11,4.4,14.6,89
2022-01-12,3.1,0.0,55
2022-01-13,3.3,0.0,58
2022-01-14,2.5,0.0,45
2022-01-15,2.9,0.0,55
2022-01-16,2.8,0.0,77
2022-01-17,3.6,0.1,72
2022-01-18,2.2,0.0,54
2022-01-19,2.1,0.0,55
2022-01-20,1.6,0.0,63
2022-01-21,1.2,0.0,47
2022-01-22,2.5,0.0,54
2022-01-23,3.3,1.2,70
2022-01-24,4.8,0.7,69
2022-01-25,3.1,0.2,68
2022-01-26,4.5,0.0,78
2022-01-27,5.3,0.0,59
2022-01-28,5.1,0.0,54
2022-01-29,3.3,0.0,64
2022-01-30,2.9,0.0,58
2022-01-31,3.3,0.0,45
2022-02-01,2.8,0.0,58
2022-02-02,3.6,0.0,56
2022-02-03,3.0,0.0,58
2022-02-04,3.1,0.0,62
2022-02-05,2.2,0.3,52
2022-02-06,0.9,0.0,49
2022-02-07,2.3,0.0,47
2022-02-08,3.4,0.1,66
2022-02-09,4.3,0.0,61
2022-02-10,1.4,27.4,93
2022-02-11,3.3,2.4,77
2022-02-12,3.0,0.0,70
2022-02-13,1.9,22.0,87
2022-02-14,3.4,3.2,79
2022-02-15,3.7,0.0,82
2022-02-16,4.1,0.6,72
2022-02-17,2.2,0.0,47
2022-02-18,3.5,0.1,48
2022-02-19,3.9,7.0,79
2022-02-20,5.1,10.8,75
2022-02-21,1.9,0.0,44
2022-02-22,1.4,0.0,54
2022-02-23,1.8,0.0,51
2022-02-24,2.1,0.0,49
2022-02-25,4.5,0.0,48
2022-02-26,5.9,0.0,63
2022-02-27,7.2,0.1,61
2022-02-28,6.9,0.0,58
2022-03-01,7.8,0.3,74
2022-03-02,9.3,2.6,68
2022-03-03,8.5,0.1,67
2022-03-04,6.7,0.0,58
2022-03-05,9.3,0.0,65
2022-03-06,7.2,0.5,32
2022-03-07,6.8,0.0,45
2022-03-08,5.3,0.6,73
2022-03-09,6.9,0.0,59
2022-03-10,7.5,0.0,63
2022-03-11,10.2,0.0,64
2022-03-12,13.3,0.2,54
2022-03-13,13.5,0.0,65
2022-03-14,16.4,3.9,70
2022-03-15,12.3,0.9,63
2022-03-16,12.4,0.0,66
2022-03-17,12.9,2.7,67
2022-03-18,5.9,38.5,83
2022-03-19,9.9,21.1,75
2022-03-20,8.8,0.0,57
2022-03-21,8.6,2.8,71
2022-03-22,3.7,17.0,91
2022-03-23,4.4,1.0,73
2022-03-24,7.0,1.2,71
2022-03-25,10.0,0.0,65
2022-03-26,14.6,10.7,82
2022-03-27,15.5,5.4,74
2022-03-28,11.9,2.6,65
2022-03-29,9.1,0.6,71
2022-03-30,12.6,0.4,85
2022-03-31,13.7,7.0,83
2022-04-01,6.9,19.9,67
2022-04-02,6.6,0.0,61
2022-04-03,7.7,12.4,82
2022-04-04,8.6,44.7,88
2022-04-05,11.4,1.5,78
2022-04-06,13.7,0.0,77
2022-04-07,12.9,0.0,78
2022-04-08,13.5,0.0,68
2022-04-09,14.7,0.0,73
2022-04-10,17.3,0.0,72
2022-04-11,17.1,0.0,74
2022-04-12,18.0,0.0,76
2022-04-13,18.6,0.0,80
2022-04-14,12.6,4.4,79
2022-04-15,10.4,13.5,88
2022-04-16,10.7,0.4,73
2022-04-17,11.2,5.0,77
2022-04-18,13.5,19.2,87
2022-04-19,14.2,0.8,76
2022-04-20,12.4,8.8,83
2022-04-21,14.8,11.5,83
2022-04-22,18.5,34.6,82
2022-04-23,18.9,0.0,83
2022-04-24,16.4,15.2,80
2022-04-25,17.9,0.0,82
2022-04-26,19.7,3.0,91
2022-04-27,22.5,2.6,81
2022-04-28,15.4,0.4,68
2022-04-29,12.7,41.7,84
2022-04-30,11.6,0.0,68
2022-05-01,12.6,13.2,83
2022-05-02,12.6,0.0,75
2022-05-03,13.4,0.2,69
2022-05-04,15.8,0.0,68
2022-05-05,17.8,0.0,75
2022-05-06,18.0,0.1,78
2022-05-07,17.8,1.3,83
2022-05-08,17.4,3.0,64
2022-05-09,13.9,8.6,78
2022-05-10,15.3,1.3,70
2022-05-11,16.6,0.0,65
2022-05-12,18.7,8.5,84
2022-05-13,18.7,44.7,93
2022-05-14,21.2,39.0,80
2022-05-15,16.3,3.6,78
2022-05-16,14.7,7.6,89
2022-05-17,15.6,1.5,85
2022-05-18,17.0,0.0,80
2022-05-19,18.7,0.0,72
2022-05-20,19.5,0.0,79
2022-05-21,17.9,6.4,87
2022-05-22,18.7,1.9,79
2022-05-23,18.6,0.6,77
2022-05-24,19.7,0.0,75
2022-05-25,20.7,0.4,75
2022-05-26,20.8,0.1,73
2022-05-27,20.5,28.2,87
2022-05-28,20.8,0.1,69
2022-05-29,21.5,0.0,64
2022-05-30,21.3,0.0,74
2022-05-31,20.0,17.1,82
2022-06-01,20.8,0.0,67
2022-06-02,21.1,0.0,76
2022-06-03,20.2,9.5,82
2022-06-04,19.4,0.0,73
2022-06-05,20.1,4.3,78
2022-06-06,17.5,38.2,89
2022-06-07,17.6,1.9,81
2022-06-08,16.9,3.9,81
2022-06-09,18.5,2.2,81
2022-06-10,19.9,1.1,81
2022-06-11,20.8,3.3,82
2022-06-12,20.2,5.8,78
2022-06-13,19.5,0.0,59
2022-06-14,17.0,4.8,81
2022-06-15,17.4,4.7,85
2022-06-16,19.7,0.0,85
2022-06-17,22.1,0.0,83
2022-06-18,21.9,8.6,90
2022-06-19,23.3,0.0,83
2022-06-20,24.1,0.0,83
2022-06-21,24.1,4.1,82
2022-06-22,23.7,15.9,84
2022-06-23,23.6,0.5,84
2022-06-24,25.7,0.0,81
2022-06-25,28.1,0.0,77
2022-06-26,27.6,0.0,70
2022-06-27,27.8,0.0,72
2022-06-28,27.7,0.0,74
2022-06-29,28.5,0.0,73
2022-06-30,29.5,0.0,65
2022-07-01,29.8,0.2,66
2022-07-02,29.4,0.0,66
2022-07-03,28.8,0.3,67
2022-07-04,26.5,0.9,75
2022-07-05,26.1,16.6,79
2022-07-06,25.8,5.3,79
2022-07-07,25.1,1.8,77
2022-07-08,24.8,0.0,73
2022-07-09,25.3,0.0,73
2022-07-10,26.0,1.8,78
2022-07-11,27.2,0.1,73
2022-07-12,26.3,14.7,77
2022-07-13,24.6,22.0,86
2022-07-14,24.3,7.9,86
2022-07-15,24.3,42.6,89
2022-07-16,24.0,7.1,89
2022-07-17,25.4,3.9,85
2022-07-18,26.4,0.0,80
2022-07-19,26.4,6.4,85
2022-07-20,28.3,0.7,73
2022-07-21,27.0,1.5,78
2022-07-22,27.4,1.2,82
2022-07-23,27.3,1.5,79
2022-07-24,27.2,0.2,75
2022-07-25,27.7,0.0,76
2022-07-26,26.6,8.9,87
2022-07-27,27.8,0.0,82
2022-07-28,27.7,4.0,81
2022-07-29,27.5,0.0,81
2022-07-30,28.3,0.0,78
2022-07-31,29.8,0.0,77
2022-08-01,30.0,0.0,70
2022-08-02,31.1,0.0,69
2022-08-03,31.8,1.0,65
2022-08-04,25.5,22.7,85
2022-08-05,24.1,3.8,81
2022-08-06,24.2,0.0,79
2022-08-07,26.9,0.9,81
2022-08-08,28.3,0.0,80
2022-08-09,29.0,0.0,76
2022-08-10,29.0,0.0,76
2022-08-11,28.4,0.6,77
2022-08-12,28.0,0.9,76
2022-08-13,26.8,27.4,82
2022-08-14,28.3,1.6,81
2022-08-15,28.5,0.3,82
2022-08-16,29.5,0.0,78
2022-08-17,27.7,5.7,77
2022-08-18,25.7,10.6,84
2022-08-19,26.4,0.0,67
2022-08-20,25.8,4.0,83
2022-08-21,26.0,4.1,86
2022-08-22,25.5,1.1,85
2022-08-23,27.3,0.1,85
2022-08-24,27.3,2.6,78
2022-08-25,26.0,0.0,76
2022-08-26,27.3,0.8,85
2022-08-27,28.3,0.2,77
2022-08-28,23.6,5.1,84
2022-08-29,22.3,1.2,75
2022-08-30,23.2,1.1,78
2022-08-31,26.7,0.2,82
2022-09-01,27.7,1.6,81
2022-09-02,24.1,16.7,87
2022-09-03,24.2,1.3,82
2022-09-04,25.0,0.0,82
2022-09-05,25.4,0.6,84
2022-09-06,26.6,0.6,83
2022-09-07,26.7,8.4,85
2022-09-08,24.4,22.1,87
2022-09-09,24.1,0.5,83
2022-09-10,23.9,0.0,76
2022-09-11,22.7,0.2,79
2022-09-12,24.6,0.0,79
2022-09-13,25.7,0.1,81
2022-09-14,25.4,0.0,80
2022-09-15,22.9,0.0,73
2022-09-16,23.7,0.0,71
2022-09-17,25.9,0.0,72
2022-09-18,25.3,31.3,89
2022-09-19,26.4,14.1,85
2022-09-20,23.4,19.1,80
2022-09-21,19.0,0.5,75
2022-09-22,19.0,1.4,74
2022-09-23,22.0,32.5,84
2022-09-24,24.3,102.5,90
2022-09-25,22.0,0.0,77
2022-09-26,21.9,0.0,80
2022-09-27,22.1,0.0,81
2022-09-28,21.5,0.0,71
2022-09-29,21.4,1.5,81
2022-09-30,21.8,0.0,77
2022-10-01,22.0,0.2,74
2022-10-02,21.5,0.0,73
2022-10-03,21.9,0.1,80
2022-10-04,24.1,0.0,71
2022-10-05,20.1,13.4,83
2022-10-06,13.3,11.9,86
2022-10-07,12.3,42.9,87
2022-10-08,16.3,0.1,80
2022-10-09,16.6,7.1,82
