time,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean
2023-01-01,4.2,0.0,77
2023-01-02,4.1,0.0,61
2023-01-03,3.4,0.0,56
2023-01-04,3.4,0.0,59
2023-01-05,3.3,0.0,52
2023-01-06,2.8,0.0,64
2023-01-07,4.3,0.0,72
2023-01-08,4.9,0.1,71
2023-01-09,5.5,0.0,76
2023-01-10,5.0,0.5,47
2023-01-11,3.6,0.0,62
2023-01-12,4.0,0.0,69
2023-01-13,5.8,0.2,74
2023-01-14,9.6,2.7,85
2023-01-15,9.4,3.0,84
2023-01-16,6.0,9.1,87
2023-01-17,3.9,0.3,66
2023-01-18,6.0,0.1,74
2023-01-19,5.2,0.5,71
2023-01-20,6.0,0.4,75
2023-01-21,3.8,0.0,48
2023-01-22,2.8,0.0,61
2023-01-23,2.8,1.3,84
2023-01-24,2.7,3.8,74
2023-01-25,-1.9,0.0,35
2023-01-26,0.3,0.0,57
2023-01-27,0.7,3.9,77
2023-01-28,1.6,0.0,49
2023-01-29,1.3,0.0,62
2023-01-30,1.9,0.0,67
2023-01-31,2.9,0.5,49
2023-02-01,4.4,0.0,64
2023-02-02,5.1,0.0,44
2023-02-03,3.1,0.0,58
2023-02-04,4.8,0.0,72
2023-02-05,4.6,0.0,69
2023-02-06,5.4,0.0,73
2023-02-07,8.4,0.0,71
2023-02-08,8.0,1.6,74
2023-02-09,5.1,0.0,43
2023-02-10,0.9,18.4,81
2023-02-11,7.5,0.0,65
2023-02-12,8.6,0.0,78
2023-02-13,7.0,8.3,87
2023-02-14,4.3,0.0,51
2023-02-15,1.9,0.0,45
2023-02-16,2.1,0.0,60
2023-02-17,3.3,0.0,70
2023-02-18,6.2,0.0,75
2023-02-19,10.1,2.8,77
2023-02-20,8.0,1.4,55
2023-02-21,3.1,0.0,40
2023-02-22,3.7,0.0,56
2023-02-23,5.5,0.0,71
2023-02-24,6.8,4.8,79
2023-02-25,6.2,1.0,55
2023-02-26,4.6,0.0,40
2023-02-27,7.1,0.0,51
2023-02-28,9.0,0.0,62
2023-03-01,12.2,0.0,55
2023-03-02,12.0,1.7,56
2023-03-03,6.4,0.0,55
2023-03-04,8.6,0.0,50
2023-03-05,8.5,5.0,61
2023-03-06,9.5,2.0,77
2023-03-07,10.4,0.0,74
2023-03-08,12.0,0.0,58
2023-03-09,14.4,0.0,58
2023-03-10,16.9,0.1,51
2023-03-11,13.1,0.0,50
2023-03-12,13.1,0.0,66
2023-03-13,13.8,6.4,67
2023-03-14,8.7,0.0,58
2023-03-15,10.9,0.0,68
2023-03-16,13.4,0.0,70
2023-03-17,12.0,3.4,76
2023-03-18,8.1,31.0,87
2023-03-19,8.9,0.0,66
2023-03-20,11.0,0.0,69
2023-03-21,13.4,0.1,78
2023-03-22,15.6,0.0,80
2023-03-23,15.6,23.4,93
2023-03-24,18.5,15.4,79
2023-03-25,10.9,18.3,86
2023-03-26,11.2,21.1,90
2023-03-27,12.3,0.2,60
2023-03-28,9.9,0.7,76
2023-03-29,11.2,4.8,75
2023-03-30,12.8,1.7,80
2023-03-31,13.4,0.0,79
2023-04-01,13.7,2.9,74
2023-04-02,13.0,2.0,71
2023-04-03,11.3,0.0,64
2023-04-04,12.0,0.0,66
2023-04-05,14.4,0.0,66
2023-04-06,17.2,1.1,68
2023-04-07,18.6,7.2,77
2023-04-08,15.1,10.3,65
2023-04-09,10.4,0.0,49
2023-04-10,12.0,0.0,58
2023-04-11,16.3,0.0,65
2023-04-12,18.2,1.1,64
2023-04-13,14.3,0.0,49
2023-04-14,17.3,0.0,58
2023-04-15,14.0,46.0,85
2023-04-16,16.3,2.2,77
2023-04-17,13.7,0.1,55
2023-04-18,12.7,0.2,68
2023-04-19,16.2,0.3,81
2023-04-20,17.9,0.0,79
2023-04-21,19.6,0.0,77
2023-04-22,13.9,0.0,48
2023-04-23,12.9,0.0,44
2023-04-24,12.3,0.0,36
2023-04-25,13.4,0.0,52
2023-04-26,16.3,27.0,78
2023-04-27,15.8,0.6,57
2023-04-28,16.7,0.0,71
2023-04-29,18.2,2.9,69
2023-04-30,19.3,11.0,87
2023-05-01,16.7,0.3,74
2023-05-02,15.5,0.0,51
2023-05-03,16.2,0.0,67
2023-05-04,18.0,0.0,69
2023-05-05,19.3,0.0,65
2023-05-06,22.3,0.0,60
2023-05-07,18.2,38.4,85
2023-05-08,12.9,35.5,77
2023-05-09,12.9,0.0,63
2023-05-10,15.3,0.0,71
2023-05-11,15.5,2.3,71
2023-05-12,15.6,0.0,72
2023-05-13,16.2,2.0,80
2023-05-14,17.0,2.4,74
2023-05-15,16.1,12.4,84
2023-05-16,18.5,0.0,72
2023-05-17,20.3,0.0,78
2023-05-18,23.1,0.0,69
2023-05-19,20.0,13.5,81
2023-05-20,19.0,2.7,85
2023-05-21,19.5,0.0,83
2023-05-22,21.3,0.9,80
2023-05-23,14.2,13.4,83
2023-05-24,16.6,0.0,61
2023-05-25,16.9,0.0,75
2023-05-26,18.9,0.0,70
2023-05-27,19.1,0.0,72
2023-05-28,20.4,0.2,73
2023-05-29,19.3,20.1,89
2023-05-30,20.5,1.8,86
2023-05-31,18.3,6.9,76
2023-06-01,19.2,0.0,78
2023-06-02,21.3,99.5,91
2023-06-03,19.7,80.9,79
2023-06-04,20.1,0.0,73
2023-06-05,21.5,0.0,73
2023-06-06,19.8,3.9,80
2023-06-07,21.4,4.0,74
2023-06-08,22.1,3.7,79
2023-06-09,21.5,31.1,87
2023-06-10,21.6,0.2,86
2023-06-11,21.1,10.2,87
2023-06-12,21.4,14.8,92
2023-06-13,22.9,3.2,85
2023-06-14,22.5,1.4,87
2023-06-15,21.9,7.9,87
2023-06-16,23.3,5.2,74
2023-06-17,23.3,0.0,68
2023-06-18,23.5,0.0,79
2023-06-19,22.5,0.6,75
2023-06-20,21.4,2.7,71
2023-06-21,21.5,0.0,73
2023-06-22,20.4,10.5,78
2023-06-23,20.5,1.6,79
2023-06-24,23.4,0.2,81
2023-06-25,24.2,0.1,79
2023-06-26,24.5,0.0,80
2023-06-27,24.5,2.6,84
2023-06-28,25.9,1.0,81
2023-06-29,26.6,0.0,77
2023-06-30,25.9,7.2,83
2023-07-01,25.3,33.3,86
2023-07-02,25.6,0.6,77
2023-07-03,25.1,0.0,82
2023-07-04,24.4,3.4,75
2023-07-05,24.5,0.3,80
2023-07-06,26.1,10.8,79
2023-07-07,26.6,0.0,77
2023-07-08,27.0,2.5,82
2023-07-09,27.1,2.9,82
2023-07-10,29.2,0.0,76
2023-07-11,28.9,0.0,73
2023-07-12,29.9,0.0,67
2023-07-13,27.7,4.4,71
2023-07-14,27.2,0.3,75
2023-07-15,27.8,0.0,75
2023-07-16,30.8,0.0,65
2023-07-17,31.7,0.0,59
2023-07-18,32.0,1.0,54
2023-07-19,30.3,1.3,64
2023-07-20,27.9,4.1,66
2023-07-21,27.3,0.9,66
2023-07-22,27.2,0.8,66
2023-07-23,27.5,0.0,63
2023-07-24,28.3,0.0,65
2023-07-25,29.9,0.0,60
2023-07-26,30.8,0.0,59
2023-07-27,30.5,0.0,62
2023-07-28,30.0,0.5,63
2023-07-29,29.9,0.0,62
2023-07-30,30.5,0.0,63
2023-07-31,30.7,0.7,63
2023-08-01,27.8,3.8,73
2023-08-02,29.1,1.9,70
2023-08-03,30.0,2.9,64
2023-08-04,31.2,2.7,60
2023-08-05,30.5,0.0,65
2023-08-06,29.1,4.1,70
2023-08-07,29.4,0.6,69
2023-08-08,29.8,5.6,69
2023-08-09,27.3,31.9,85
2023-08-10,28.2,1.6,77
2023-08-11,27.9,1.7,78
2023-08-12,28.4,0.1,76
2023-08-13,28.0,7.0,80
2023-08-14,27.4,16.2,85
2023-08-15,27.5,30.9,82
2023-08-16,27.7,0.6,81
2023-08-17,28.5,0.2,80
2023-08-18,28.5,0.2,81
2023-08-19,29.0,0.6,77
2023-08-20,29.1,0.2,77
2023-08-21,29.8,0.5,73
2023-08-22,28.2,7.6,80
2023-08-23,27.8,6.6,83
2023-08-24,28.2,0.6,80
2023-08-25,28.7,0.0,75
2023-08-26,27.0,10.4,81
2023-08-27,27.2,3.8,78
2023-08-28,28.5,0.0,74
2023-08-29,28.5,0.0,74
2023-08-30,28.6,0.0,74
2023-08-31,29.2,0.0,67
2023-09-01,28.9,0.0,68
2023-09-02,29.7,0.0,67
2023-09-03,29.3,15.1,69
2023-09-04,26.5,31.7,86
2023-09-05,28.1,0.4,81
2023-09-06,27.0,2.0,80
2023-09-07,26.0,3.5,79
2023-09-08,22.9,75.2,89
2023-09-09,24.9,0.7,87
2023-09-10,26.8,0.0,83
2023-09-11,27.2,0.1,80
2023-09-12,26.4,0.4,79
2023-09-13,26.1,0.0,78
2023-09-14,27.1,0.0,82
2023-09-15,27.6,4.2,81
2023-09-16,27.4,0.8,86
2023-09-17,27.6,0.2,79
2023-09-18,27.7,0.0,75
2023-09-19,27.5,0.0,76
2023-09-20,26.6,14.9,79
2023-09-21,25.8,1.1,84
2023-09-22,25.6,33.4,82
2023-09-23,22.6,14.5,84
