time,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean
1999-01-01,2.4,0.0,57
1999-01-02,3.2,0.0,67
1999-01-03,3.4,0.0,62
1999-01-04,3.1,0.0,59
1999-01-05,2.8,0.0,72
1999-01-06,4.7,0.0,81
1999-01-07,5.4,1.1,80
1999-01-08,1.0,0.3,60
1999-01-09,-0.2,0.5,57
1999-01-10,1.4,0.0,63
1999-01-11,1.9,0.0,60
1999-01-12,2.1,0.0,65
1999-01-13,2.7,0.0,66
1999-01-14,2.4,0.0,67
1999-01-15,2.5,0.7,77
1999-01-16,4.0,0.2,72
1999-01-17,3.3,0.0,54
1999-01-18,4.5,0.0,73
1999-01-19,5.2,0.7,79
1999-01-20,7.0,0.2,83
1999-01-21,3.7,0.0,59
1999-01-22,3.9,0.0,69
1999-01-23,5.1,0.0,74
1999-01-24,4.1,4.1,79
1999-01-25,4.7,4.5,82
1999-01-26,6.0,2.0,78
1999-01-27,5.1,0.0,79
1999-01-28,6.5,0.0,69
1999-01-29,3.7,3.0,74
1999-01-30,1.0,0.0,62
1999-01-31,3.3,0.0,67
1999-02-01,4.0,0.0,73
1999-02-02,3.7,0.6,80
1999-02-03,1.4,0.0,49
1999-02-04,0.2,0.0,45
1999-02-05,1.5,0.2,65
1999-02-06,2.3,0.0,57
1999-02-07,3.1,0.0,68
1999-02-08,4.7,0.0,68
1999-02-09,4.8,0.0,68
1999-02-10,4.8,0.0,63
1999-02-11,3.1,15.8,82
1999-02-12,3.8,1.4,67
1999-02-13,0.4,0.0,48
1999-02-14,0.3,0.0,56
1999-02-15,1.9,0.0,66
1999-02-16,4.7,0.0,66
1999-02-17,6.2,0.0,71
1999-02-18,8.8,0.3,70
1999-02-19,4.3,9.2,85
1999-02-20,2.2,0.0,77
1999-02-21,1.2,0.0,67
1999-02-22,1.8,0.0,64
1999-02-23,4.3,0.0,64
1999-02-24,3.3,10.9,85
1999-02-25,6.8,4.8,66
1999-02-26,5.2,1.0,80
1999-02-27,8.6,6.0,73
1999-02-28,4.1,0.0,51
1999-03-01,5.5,0.0,68
1999-03-02,6.8,0.0,70
1999-03-03,7.2,0.0,71
1999-03-04,8.5,0.0,69
1999-03-05,10.7,0.0,81
1999-03-06,9.5,0.0,55
1999-03-07,6.7,11.2,83
1999-03-08,6.8,0.7,71
1999-03-09,4.3,9.0,86
1999-03-10,4.7,1.3,83
1999-03-11,4.6,4.9,83
1999-03-12,4.3,0.0,64
1999-03-13,5.6,0.0,63
1999-03-14,9.9,0.6,75
1999-03-15,13.4,22.6,88
1999-03-16,12.4,2.9,74
1999-03-17,11.2,0.0,79
1999-03-18,14.1,0.0,75
1999-03-19,14.8,11.2,87
1999-03-20,6.9,18.6,86
1999-03-21,5.1,6.6,79
1999-03-22,5.7,1.9,59
1999-03-23,5.1,0.0,57
1999-03-24,9.2,0.4,75
1999-03-25,10.0,12.0,85
1999-03-26,13.5,4.6,86
1999-03-27,11.9,8.3,87
1999-03-28,6.6,0.9,65
1999-03-29,4.8,0.0,52
1999-03-30,5.3,1.9,64
1999-03-31,6.5,20.6,87
1999-04-01,10.6,0.0,84
1999-04-02,14.8,4.9,78
1999-04-03,8.3,1.6,67
1999-04-04,9.5,0.0,76
1999-04-05,11.8,0.3,76
1999-04-06,10.0,14.5,85
1999-04-07,9.0,2.8,70
1999-04-08,6.7,0.0,49
1999-04-09,8.3,0.0,66
1999-04-10,10.9,8.9,78
1999-04-11,13.6,43.8,91
1999-04-12,14.7,0.3,85
1999-04-13,16.3,0.0,79
1999-04-14,13.8,0.6,73
1999-04-15,11.9,0.0,74
1999-04-16,12.6,0.3,80
1999-04-17,13.3,0.0,75
1999-04-18,13.1,4.4,84
1999-04-19,12.8,6.2,90
1999-04-20,16.1,0.0,78
1999-04-21,14.2,7.5,78
1999-04-22,14.8,0.0,78
1999-04-23,14.2,12.7,87
1999-04-24,13.2,53.1,93
1999-04-25,15.3,12.7,81
1999-04-26,15.9,0.4,84
1999-04-27,15.8,0.0,87
1999-04-28,16.7,4.4,85
1999-04-29,11.8,10.1,73
1999-04-30,10.6,0.0,59
1999-05-01,13.4,0.0,68
1999-05-02,14.9,0.0,74
1999-05-03,15.1,0.0,80
1999-05-04,16.2,31.6,84
1999-05-05,18.2,19.1,68
1999-05-06,15.1,1.4,71
1999-05-07,16.4,0.0,79
1999-05-08,17.9,0.0,77
1999-05-09,17.8,0.0,85
1999-05-10,18.3,0.0,86
1999-05-11,16.6,11.1,84
1999-05-12,17.3,0.0,76
1999-05-13,18.8,0.0,82
1999-05-14,18.2,0.2,78
1999-05-15,16.2,1.4,77
1999-05-16,15.1,5.5,85
1999-05-17,16.3,0.0,76
1999-05-18,16.4,0.0,74
1999-05-19,16.7,4.8,89
1999-05-20,20.4,0.5,80
1999-05-21,19.2,0.0,70
1999-05-22,18.4,0.0,76
1999-05-23,20.0,0.0,76
1999-05-24,18.5,13.3,89
1999-05-25,22.0,0.3,77
1999-05-26,18.9,0.0,77
1999-05-27,20.6,26.8,88
1999-05-28,19.2,0.3,89
1999-05-29,17.1,0.1,80
1999-05-30,18.7,0.0,72
1999-05-31,18.3,0.0,72
1999-06-01,19.1,0.0,72
1999-06-02,21.1,0.0,78
1999-06-03,21.7,1.0,82
1999-06-04,20.8,0.0,81
1999-06-05,21.4,0.0,81
1999-06-06,21.9,0.0,81
1999-06-07,20.8,13.0,88
1999-06-08,21.3,0.3,71
1999-06-09,19.8,15.0,74
1999-06-10,19.4,0.0,77
1999-06-11,20.4,0.0,75
1999-06-12,20.8,0.0,76
1999-06-13,21.6,0.0,80
1999-06-14,22.2,0.0,78
1999-06-15,23.0,0.0,84
1999-06-16,24.9,0.0,82
1999-06-17,23.3,3.2,85
1999-06-18,18.0,6.2,79
1999-06-19,16.3,31.2,87
1999-06-20,17.4,11.4,88
1999-06-21,19.9,0.0,81
1999-06-22,20.3,12.5,84
1999-06-23,21.2,1.3,81
1999-06-24,23.0,1.7,88
1999-06-25,21.2,44.6,94
1999-06-26,20.6,11.4,86
1999-06-27,22.1,13.2,92
1999-06-28,20.8,4.2,89
1999-06-29,20.0,7.4,83
1999-06-30,21.7,37.0,92
1999-07-01,22.8,1.3,84
1999-07-02,22.7,0.0,84
1999-07-03,23.2,7.3,90
1999-07-04,24.4,6.4,86
1999-07-05,20.9,6.2,85
1999-07-06,19.9,0.4,80
1999-07-07,19.5,0.0,74
1999-07-08,19.6,0.0,76
1999-07-09,19.6,2.2,80
1999-07-10,20.9,4.4,78
1999-07-11,22.6,16.2,92
1999-07-12,23.7,8.1,92
