time,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean
1982-01-01,5.4,0.1,83
1982-01-02,4.3,1.5,79
1982-01-03,2.8,0.0,71
1982-01-04,7.2,10.8,84
1982-01-05,9.5,40.1,77
1982-01-06,4.6,0.0,70
1982-01-07,2.4,0.0,67
1982-01-08,1.0,0.0,66
1982-01-09,4.7,0.0,70
1982-01-10,4.7,0.0,65
1982-01-11,3.7,0.9,81
1982-01-12,7.7,0.2,84
1982-01-13,5.5,0.7,84
1982-01-14,3.5,1.3,79
1982-01-15,3.3,1.9,79
1982-01-16,1.1,3.8,83
1982-01-17,0.6,0.0,65
1982-01-18,2.2,2.4,74
1982-01-19,1.2,0.1,69
1982-01-20,-0.3,0.0,63
1982-01-21,2.4,0.0,65
1982-01-22,4.2,0.0,77
1982-01-23,4.9,0.1,72
1982-01-24,4.2,0.0,61
1982-01-25,3.5,0.0,65
1982-01-26,2.9,0.3,69
1982-01-27,3.5,3.2,83
1982-01-28,2.4,4.2,71
1982-01-29,-0.4,0.5,50
1982-01-30,-1.0,0.0,49
1982-01-31,0.8,0.0,65
1982-02-01,2.2,0.0,66
1982-02-02,0.7,0.0,53
1982-02-03,1.7,0.0,70
1982-02-04,2.5,8.9,83
1982-02-05,0.6,0.4,70
1982-02-06,0.7,0.0,71
1982-02-07,-0.7,0.0,52
1982-02-08,-1.1,0.0,59
1982-02-09,-0.1,0.0,67
1982-02-10,0.1,0.0,64
1982-02-11,1.2,0.0,64
1982-02-12,3.3,0.0,75
1982-02-13,3.5,0.0,68
1982-02-14,2.7,0.0,65
1982-02-15,2.3,0.0,63
1982-02-16,4.3,0.0,67
1982-02-17,3.4,11.1,85
1982-02-18,4.2,0.0,73
1982-02-19,6.3,0.0,77
1982-02-20,9.5,15.8,87
1982-02-21,7.1,11.1,87
1982-02-22,5.5,2.0,69
1982-02-23,4.6,0.0,61
1982-02-24,2.2,3.7,79
1982-02-25,2.4,0.6,61
1982-02-26,1.4,0.0,52
1982-02-27,2.9,0.0,67
1982-02-28,5.6,0.0,76
1982-03-01,5.5,12.4,85
1982-03-02,4.4,3.5,70
1982-03-03,3.4,0.0,54
1982-03-04,5.0,0.0,68
