time,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean
1983-01-01,3.3,0.0,63
1983-01-02,2.2,0.0,69
1983-01-03,2.2,0.0,68
1983-01-04,3.0,0.0,70
1983-01-05,5.5,1.0,81
1983-01-06,6.5,6.5,84
1983-01-07,6.2,0.0,82
1983-01-08,9.4,1.7,87
1983-01-09,5.3,0.5,62
1983-01-10,2.8,0.5,61
1983-01-11,1.1,0.0,57
1983-01-12,3.6,0.0,66
1983-01-13,4.0,0.2,74
1983-01-14,2.9,0.0,55
1983-01-15,2.3,0.0,64
1983-01-16,2.1,0.0,76
1983-01-17,4.3,0.0,74
1983-01-18,3.5,14.0,88
1983-01-19,3.2,0.7,83
1983-01-20,1.8,0.0,71
1983-01-21,1.0,0.0,71
1983-01-22,-0.8,0.0,61
1983-01-23,0.1,0.0,52
1983-01-24,1.8,0.0,67
1983-01-25,2.7,0.0,75
1983-01-26,3.9,0.0,73
1983-01-27,3.8,0.0,73
1983-01-28,4.6,0.0,68
1983-01-29,6.7,0.0,71
1983-01-30,6.5,3.2,81
1983-01-31,3.9,0.0,54
1983-02-01,5.6,0.4,73
1983-02-02,5.2,6.2,89
1983-02-03,5.0,1.4,71
1983-02-04,2.8,0.0,66
1983-02-05,3.1,0.0,75
1983-02-06,4.9,0.0,71
1983-02-07,3.8,0.7,70
1983-02-08,2.8,0.0,65
1983-02-09,4.5,0.0,53
1983-02-10,2.6,0.8,61
1983-02-11,1.7,0.0,62
1983-02-12,3.7,0.0,51
1983-02-13,-0.1,0.2,54
1983-02-14,0.7,0.0,57
1983-02-15,4.9,0.0,75
1983-02-16,4.6,0.0,66
1983-02-17,3.4,38.7,91
1983-02-18,5.1,1.7,79
1983-02-19,1.6,2.4,63
1983-02-20,1.5,0.0,60
1983-02-21,0.7,0.0,54
1983-02-22,1.5,0.0,61
1983-02-23,3.2,0.0,72
1983-02-24,2.7,9.3,90
1983-02-25,3.4,0.3,76
1983-02-26,2.3,0.0,57
1983-02-27,2.2,0.0,58
1983-02-28,4.0,0.0,64
1983-03-01,5.4,0.0,72
1983-03-02,6.9,10.1,88
1983-03-03,8.6,0.0,74
1983-03-04,4.9,3.6,81
1983-03-05,3.9,0.0,70
1983-03-06,4.1,0.2,62
1983-03-07,3.4,0.1,55
1983-03-08,2.7,0.0,49
1983-03-09,3.1,0.0,64
1983-03-10,6.4,28.3,84
1983-03-11,8.5,3.0,67
1983-03-12,6.8,0.0,76
1983-03-13,8.5,27.6,86
1983-03-14,5.1,0.3,50
1983-03-15,4.4,0.0,63
1983-03-16,5.6,1.8,79
1983-03-17,7.1,17.6,80
1983-03-18,5.1,0.2,50
1983-03-19,4.4,0.0,62
1983-03-20,7.7,0.0,75
1983-03-21,6.9,6.6,87
1983-03-22,8.3,0.0,83
1983-03-23,10.7,2.6,81
1983-03-24,11.7,15.3,88
1983-03-25,7.1,1.4,72
1983-03-26,7.6,0.2,74
1983-03-27,6.7,5.2,83
1983-03-28,8.8,0.0,80
1983-03-29,7.8,0.0,80
1983-03-30,7.7,7.2,84
1983-03-31,8.0,0.2,73
1983-04-01,9.4,31.9,86
1983-04-02,13.1,0.0,72
1983-04-03,11.3,0.0,75
1983-04-04,12.3,0.0,81
1983-04-05,10.3,0.1,76
1983-04-06,11.7,0.0,79
1983-04-07,13.4,0.0,76
1983-04-08,13.4,1.4,81
1983-04-09,11.6,0.0,72
1983-04-10,12.0,8.6,83
1983-04-11,15.4,13.2,88
1983-04-12,12.6,3.1,89
1983-04-13,12.4,0.0,77
1983-04-14,12.1,0.0,76
1983-04-15,15.2,14.9,92
1983-04-16,15.9,18.0,88
1983-04-17,10.3,26.6,86
1983-04-18,12.6,0.0,81
1983-04-19,14.2,5.6,89
1983-04-20,17.2,6.7,80
1983-04-21,12.0,0.0,63
1983-04-22,13.8,10.6,88
1983-04-23,14.7,0.0,85
1983-04-24,16.0,0.0,77
1983-04-25,17.1,0.0,81
1983-04-26,17.7,0.0,82
1983-04-27,18.9,0.0,78
1983-04-28,18.4,0.8,88
1983-04-29,20.8,0.0,85
1983-04-30,15.1,2.7,81
1983-05-01,14.7,2.9,79
1983-05-02,17.2,3.9,79
1983-05-03,16.4,0.0,73
1983-05-04,17.3,0.0,76
1983-05-05,17.7,0.0,80
1983-05-06,15.8,1.2,84
1983-05-07,20.4,10.8,86
1983-05-08,18.3,0.4,74
1983-05-09,15.8,0.0,72
1983-05-10,16.8,0.0,78
1983-05-11,18.4,0.0,76
1983-05-12,17.7,10.7,82
1983-05-13,18.2,23.3,85
1983-05-14,20.3,0.1,74
1983-05-15,17.0,5.4,70
1983-05-16,15.2,39.4,91
1983-05-17,19.7,11.0,71
1983-05-18,14.7,0.7,66
1983-05-19,17.7,0.0,71
1983-05-20,18.6,0.0,73
1983-05-21,19.4,0.0,80
1983-05-22,20.6,0.0,81
1983-05-23,18.6,0.0,72
1983-05-24,17.5,0.4,67
1983-05-25,15.0,5.7,77
1983-05-26,13.1,1.2,71
1983-05-27,15.3,0.0,73
1983-05-28,18.5,0.0,73
1983-05-29,18.9,0.3,84
1983-05-30,20.4,0.0,82
1983-05-31,20.6,0.5,82
1983-06-01,21.8,0.0,74
1983-06-02,19.2,0.0,65
1983-06-03,19.0,0.0,79
1983-06-04,17.4,0.0,72
1983-06-05,16.7,0.0,70
1983-06-06,17.4,5.2,73
1983-06-07,19.3,1.1,77
1983-06-08,20.0,0.0,82
1983-06-09,21.1,0.0,80
1983-06-10,20.3,9.5,79
1983-06-11,17.2,3.7,80
1983-06-12,16.2,0.8,78
1983-06-13,18.6,28.9,88
1983-06-14,20.1,0.0,69
1983-06-15,20.7,0.0,78
1983-06-16,18.1,16.4,86
1983-06-17,18.8,2.5,82
1983-06-18,17.7,1.6,82
1983-06-19,19.4,0.0,80
1983-06-20,19.9,26.9,89
1983-06-21,20.6,69.0,87
1983-06-22,20.3,1.1,80
1983-06-23,18.0,1.9,82
1983-06-24,19.6,7.5,88
1983-06-25,20.5,0.5,83
1983-06-26,18.7,6.9,88
1983-06-27,17.5,2.1,86
1983-06-28,19.1,0.9,82
1983-06-29,19.8,0.0,79
1983-06-30,20.4,0.0,78
1983-07-01,20.9,0.0,81
1983-07-02,21.4,0.3,86
1983-07-03,20.8,20.5,90
1983-07-04,22.4,0.0,83
1983-07-05,21.0,46.8,94
1983-07-06,20.6,8.0,87
1983-07-07,19.6,0.0,83
1983-07-08,18.6,7.8,90
1983-07-09,20.5,4.3,84
1983-07-10,19.4,1.6,83
1983-07-11,17.8,0.1,82
1983-07-12,17.3,0.0,75
1983-07-13,18.6,0.1,76
1983-07-14,22.6,0.0,84
1983-07-15,23.2,9.0,89
