time,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean
1981-01-01,1.1,0.0,74
1981-01-02,4.0,4.0,79
1981-01-03,2.1,0.0,56
1981-01-04,1.7,0.0,58
1981-01-05,0.9,0.0,65
1981-01-06,0.4,0.0,61
1981-01-07,-0.2,0.4,60
1981-01-08,0.7,0.0,60
1981-01-09,2.7,0.0,67
1981-01-10,1.9,0.0,80
1981-01-11,-0.4,0.0,68
1981-01-12,0.3,0.0,64
1981-01-13,-2.0,0.0,69
1981-01-14,-1.5,0.0,61
1981-01-15,0.6,0.0,62
1981-01-16,1.7,1.6,74
1981-01-17,-1.2,0.0,69
1981-01-18,0.3,0.0,72
1981-01-19,2.3,0.0,70
1981-01-20,1.1,0.0,67
1981-01-21,0.1,1.5,67
1981-01-22,-0.4,0.0,53
1981-01-23,1.1,0.0,52
1981-01-24,1.6,0.0,72
1981-01-25,1.5,0.0,70
1981-01-26,-0.1,0.4,68
1981-01-27,0.4,0.0,52
1981-01-28,1.0,0.0,55
1981-01-29,1.8,0.0,68
1981-01-30,1.6,0.0,58
1981-01-31,1.8,0.0,62
1981-02-01,2.1,2.1,84
1981-02-02,2.1,0.0,64
1981-02-03,0.3,0.0,77
1981-02-04,1.1,0.0,58
1981-02-05,3.0,0.0,54
1981-02-06,2.8,0.0,63
1981-02-07,1.4,0.2,76
1981-02-08,2.3,0.0,73
1981-02-09,3.2,0.0,74
1981-02-10,3.6,0.5,71
1981-02-11,2.1,0.0,56
1981-02-12,3.5,0.0,62
1981-02-13,4.5,0.0,78
1981-02-14,8.1,0.5,79
1981-02-15,8.0,0.1,86
1981-02-16,9.0,0.8,84
1981-02-17,2.1,29.6,89
1981-02-18,-2.4,0.0,85
1981-02-19,3.4,0.2,80
1981-02-20,2.5,1.6,72
1981-02-21,3.0,0.0,73
1981-02-22,2.1,0.0,70
1981-02-23,2.6,7.9,87
1981-02-24,2.1,1.0,89
1981-02-25,1.3,0.7,69
1981-02-26,-1.3,0.7,52
1981-02-27,-2.7,0.0,47
1981-02-28,-1.5,0.0,63
1981-03-01,1.5,0.3,74
1981-03-02,1.5,3.0,74
1981-03-03,3.7,0.0,79
1981-03-04,5.8,6.3,88
1981-03-05,6.1,7.2,85
1981-03-06,5.1,0.3,71
1981-03-07,2.9,0.0,75
1981-03-08,6.4,0.0,66
1981-03-09,4.3,4.9,87
1981-03-10,3.9,1.4,71
1981-03-11,3.3,0.0,60
1981-03-12,4.4,0.0,78
1981-03-13,6.5,0.0,79
1981-03-14,6.3,4.1,91
1981-03-15,11.0,14.2,76
1981-03-16,5.3,0.0,58
1981-03-17,4.5,0.0,62
1981-03-18,6.8,0.0,71
1981-03-19,10.1,0.0,77
1981-03-20,11.9,14.1,78
1981-03-21,11.4,11.1,85
1981-03-22,9.5,5.6,82
1981-03-23,9.5,2.8,70
1981-03-24,6.5,0.0,71
1981-03-25,11.1,18.6,88
1981-03-26,12.9,3.3,77
1981-03-27,8.0,0.0,58
1981-03-28,7.5,0.1,69
1981-03-29,10.6,0.3,76
1981-03-30,7.6,0.0,69
1981-03-31,4.1,3.2,81
1981-04-01,3.9,1.2,89
1981-04-02,7.5,14.6,82
1981-04-03,8.4,0.0,67
1981-04-04,10.0,0.4,80
1981-04-05,10.2,0.0,80
1981-04-06,12.1,2.4,81
1981-04-07,12.2,0.0,57
1981-04-08,9.6,0.0,66
1981-04-09,11.7,0.0,71
1981-04-10,12.1,16.0,91
1981-04-11,14.2,0.0,82
1981-04-12,14.0,0.0,82
1981-04-13,12.2,14.7,88
1981-04-14,10.2,1.0,74
1981-04-15,11.9,0.0,64
1981-04-16,11.0,19.4,87
1981-04-17,12.0,0.0,61
1981-04-18,10.4,0.0,59
1981-04-19,8.5,14.9,83
1981-04-20,14.3,22.1,70
1981-04-21,11.6,0.0,63
1981-04-22,12.5,0.0,78
1981-04-23,14.5,0.0,81
1981-04-24,16.5,0.0,77
1981-04-25,16.4,12.1,82
1981-04-26,12.8,0.1,66
