time,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean
2016-01-01,5.3,0.0,67
2016-01-02,5.9,0.0,71
2016-01-03,8.1,0.0,71
2016-01-04,6.8,0.0,85
2016-01-05,7.6,0.0,84
2016-01-06,6.4,0.0,81
2016-01-07,6.6,0.0,74
2016-01-08,6.2,0.0,73
2016-01-09,5.4,0.0,73
2016-01-10,6.1,0.0,74
2016-01-11,4.6,0.5,74
2016-01-12,2.9,2.7,80
2016-01-13,2.5,0.0,81
2016-01-14,3.6,0.0,75
2016-01-15,4.0,0.0,80
2016-01-16,4.6,0.0,70
2016-01-17,4.6,2.4,72
2016-01-18,3.7,72.0,89
2016-01-19,3.4,0.0,56
2016-01-20,1.7,0.0,58
2016-01-21,2.2,0.0,61
2016-01-22,2.4,0.0,63
2016-01-23,2.0,0.2,73
2016-01-24,1.8,0.0,62
2016-01-25,0.1,0.0,53
2016-01-26,1.7,0.0,67
2016-01-27,4.0,0.0,72
2016-01-28,5.1,0.0,70
2016-01-29,4.1,19.8,87
2016-01-30,2.8,12.5,87
2016-01-31,5.1,0.0,75
2016-02-01,3.3,0.5,79
2016-02-02,3.8,0.6,67
2016-02-03,2.6,0.0,67
2016-02-04,3.4,0.0,74
2016-02-05,4.9,0.0,74
2016-02-06,5.1,0.5,81
2016-02-07,2.9,2.0,68
2016-02-08,2.2,0.0,71
2016-02-09,4.5,0.0,67
2016-02-10,3.3,0.0,52
2016-02-11,3.1,0.0,64
2016-02-12,5.3,0.0,80
2016-02-13,11.3,0.2,87
2016-02-14,16.3,11.8,86
2016-02-15,6.4,15.9,86
2016-02-16,3.3,0.1,62
2016-02-17,3.8,0.0,61
2016-02-18,3.9,0.0,72
2016-02-19,6.8,0.0,73
2016-02-20,7.1,24.4,85
2016-02-21,8.8,2.0,68
2016-02-22,5.2,0.7,67
2016-02-23,6.2,1.8,82
2016-02-24,4.8,0.0,63
2016-02-25,2.7,0.3,66
2016-02-26,4.1,0.0,67
2016-02-27,5.3,0.0,64
2016-02-28,6.3,0.0,74
2016-02-29,8.2,4.1,82
2016-03-01,3.5,0.2,46
2016-03-02,4.1,0.0,59
2016-03-03,6.7,0.0,72
2016-03-04,7.9,0.0,75
2016-03-05,9.5,0.0,80
2016-03-06,12.0,0.4,85
2016-03-07,13.9,38.0,93
2016-03-08,14.3,0.0,88
2016-03-09,8.3,25.0,88
2016-03-10,6.0,1.1,72
2016-03-11,4.4,1.6,72
2016-03-12,5.4,0.0,71
2016-03-13,6.3,0.2,80
2016-03-14,5.4,28.5,88
2016-03-15,6.7,1.2,60
2016-03-16,7.0,0.0,73
2016-03-17,10.2,0.0,75
2016-03-18,12.6,0.0,71
2016-03-19,14.3,17.3,87
2016-03-20,11.5,0.4,71
2016-03-21,8.2,2.2,70
2016-03-22,8.8,0.0,74
2016-03-23,8.8,0.3,76
2016-03-24,5.7,1.3,72
2016-03-25,6.0,0.0,59
2016-03-26,6.3,0.0,67
2016-03-27,8.8,0.3,75
2016-03-28,9.9,5.7,81
2016-03-29,10.5,0.0,75
2016-03-30,12.6,0.0,70
2016-03-31,11.8,0.0,68
2016-04-01,11.6,0.6,75
2016-04-02,10.1,1.0,74
2016-04-03,13.4,0.3,80
2016-04-04,15.4,11.8,86
2016-04-05,10.7,3.1,78
2016-04-06,12.6,0.0,73
2016-04-07,13.9,24.9,89
2016-04-08,14.2,0.2,79
2016-04-09,14.9,0.0,79
2016-04-10,14.7,0.0,78
2016-04-11,10.2,1.3,62
2016-04-12,8.6,0.0,56
2016-04-13,14.0,3.0,74
2016-04-14,15.0,6.5,86
2016-04-15,14.6,0.2,58
2016-04-16,13.7,0.0,74
2016-04-17,17.5,4.4,82
2016-04-18,17.2,1.8,79
2016-04-19,14.9,0.3,72
2016-04-20,13.1,0.0,68
2016-04-21,15.8,9.2,80
2016-04-22,16.9,3.7,81
2016-04-23,16.3,0.2,83
2016-04-24,15.1,4.7,78
2016-04-25,15.9,0.0,73
2016-04-26,17.3,0.0,79
2016-04-27,17.0,0.8,84
2016-04-28,14.9,11.1,92
2016-04-29,14.4,0.7,56
2016-04-30,13.6,0.0,60
2016-05-01,16.5,0.0,75
2016-05-02,16.4,0.0,79
2016-05-03,18.5,0.0,81
2016-05-04,20.0,7.6,69
2016-05-05,19.4,0.0,57
2016-05-06,16.7,0.9,74
2016-05-07,19.6,0.0,70
2016-05-08,18.6,0.0,65
2016-05-09,18.1,6.8,79
2016-05-10,19.1,9.6,85
2016-05-11,20.4,8.2,89
2016-05-12,19.4,0.4,74
2016-05-13,18.6,0.0,78
2016-05-14,18.0,0.0,73
2016-05-15,16.5,0.0,71
2016-05-16,17.7,0.0,74
2016-05-17,18.3,38.0,88
2016-05-18,18.1,0.0,71
2016-05-19,17.5,0.0,68
2016-05-20,16.0,0.0,72
2016-05-21,17.6,0.0,74
2016-05-22,20.6,0.0,66
2016-05-23,21.7,0.0,65
2016-05-24,21.9,0.0,68
2016-05-25,20.6,0.0,80
2016-05-26,21.7,0.0,80
2016-05-27,19.3,17.8,85
2016-05-28,18.1,0.0,81
2016-05-29,20.6,0.0,81
2016-05-30,18.0,10.0,80
2016-05-31,19.3,0.8,78
2016-06-01,20.3,0.0,71
2016-06-02,18.8,0.0,50
2016-06-03,17.7,0.0,64
2016-06-04,20.0,0.0,72
2016-06-05,19.6,0.0,72
2016-06-06,19.5,0.0,76
2016-06-07,20.3,0.0,77
2016-06-08,21.3,1.3,71
2016-06-09,21.3,3.5,87
2016-06-10,23.1,0.5,76
2016-06-11,22.7,0.0,71
2016-06-12,22.5,0.7,78
2016-06-13,20.2,63.9,90
2016-06-14,21.5,0.0,74
2016-06-15,20.6,1.1,83
2016-06-16,21.5,7.3,87
2016-06-17,23.7,0.7,82
2016-06-18,24.1,0.0,77
2016-06-19,22.5,2.2,85
2016-06-20,23.8,4.4,79
2016-06-21,22.8,14.0,84
2016-06-22,22.3,1.2,86
2016-06-23,22.9,19.7,88
2016-06-24,22.2,2.4,86
2016-06-25,24.6,4.2,83
2016-06-26,23.8,0.0,71
2016-06-27,23.0,0.1,77
2016-06-28,20.7,25.2,82
