time,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean
1987-01-01,3.1,0.0,65
1987-01-02,1.7,3.9,75
1987-01-03,5.7,1.7,88
1987-01-04,4.2,0.0,74
1987-01-05,1.2,5.1,76
1987-01-06,1.6,6.0,84
1987-01-07,1.0,0.0,76
1987-01-08,5.2,0.2,77
1987-01-09,4.9,0.0,76
1987-01-10,0.5,0.0,67
1987-01-11,-0.3,0.0,51
1987-01-12,1.2,9.9,78
1987-01-13,2.1,1.4,73
1987-01-14,-0.3,0.0,61
1987-01-15,1.2,0.0,71
1987-01-16,4.0,0.0,78
1987-01-17,8.2,0.3,74
1987-01-18,3.2,0.0,63
1987-01-19,2.3,0.1,69
1987-01-20,-0.0,0.0,58
1987-01-21,-0.4,0.0,64
1987-01-22,1.1,0.0,68
1987-01-23,6.4,0.2,81
1987-01-24,8.8,12.8,78
1987-01-25,1.7,0.0,56
1987-01-26,0.2,0.0,52
1987-01-27,2.5,0.0,59
1987-01-28,3.9,0.0,63
1987-01-29,4.8,0.0,74
1987-01-30,5.8,0.0,70
1987-01-31,2.5,2.0,82
1987-02-01,1.3,0.0,59
1987-02-02,0.6,10.5,82
1987-02-03,3.2,2.1,78
1987-02-04,1.5,0.0,55
1987-02-05,1.3,0.0,65
1987-02-06,3.4,0.0,72
1987-02-07,5.8,0.0,77
1987-02-08,5.5,0.0,73
1987-02-09,6.0,0.0,75
1987-02-10,7.8,0.0,72
1987-02-11,11.1,0.0,80
1987-02-12,12.6,7.8,84
1987-02-13,4.9,0.3,72
1987-02-14,8.2,0.0,66
1987-02-15,3.5,0.3,74
1987-02-16,3.3,0.0,61
1987-02-17,2.7,3.1,68
1987-02-18,2.4,13.1,90
1987-02-19,2.4,0.0,68
1987-02-20,1.5,0.0,68
1987-02-21,2.2,0.2,68
1987-02-22,3.3,6.1,86
1987-02-23,5.9,1.1,81
1987-02-24,6.6,0.0,81
1987-02-25,5.9,0.0,59
1987-02-26,1.9,0.1,47
1987-02-27,2.6,0.0,51
1987-02-28,2.2,0.0,58
1987-03-01,2.3,1.0,62
1987-03-02,1.7,0.0,48
1987-03-03,3.0,0.0,59
1987-03-04,6.5,0.0,68
1987-03-05,9.1,0.0,68
1987-03-06,10.3,0.0,58
1987-03-07,2.0,19.3,72
1987-03-08,1.1,3.3,85
1987-03-09,2.2,0.0,82
1987-03-10,2.3,0.0,57
1987-03-11,2.2,13.7,89
1987-03-12,3.3,0.0,79
1987-03-13,7.7,7.7,85
1987-03-14,11.0,3.8,91
1987-03-15,7.0,1.3,62
1987-03-16,6.2,1.4,72
1987-03-17,5.0,6.6,78
1987-03-18,8.0,0.5,71
1987-03-19,7.6,0.9,82
1987-03-20,11.3,21.7,76
1987-03-21,8.4,0.0,77
1987-03-22,10.7,0.0,80
1987-03-23,11.1,2.8,89
1987-03-24,14.6,17.5,93
1987-03-25,11.2,0.0,71
1987-03-26,4.7,1.4,58
